CHEM	PHY	ENG	CHEM	ENG	CS
CHEM	ENG	CS	CHEM	CS	PHY
PHY	CHEM	PHY	ENG	CS	PHY
ENG	CHEM	ENG	CS	PHY	MATH
CS	PHY	CHEM	CS	PHY	PE
CS	ENG	CHEM	PHY	MATH	ENG
MATH	CS	PHY	PHY	PE	PHY
MATH	CS	ENG	MATH	ENG	PHY
MATH	MATH	CS	PE	PHY	CHEM
MATH	MATH	CS	ENG	PHY	CHEM
CS	CHEM	MATH	PHY	MATH	CHEM
CS	PHY	MATH	PHY	CHEM	CS
CHEM	CS	MATH	MATH	CHEM	CS
PHY	CS	MATH	CHEM	CS	MATH
PHY	MATH	CS	CHEM	CS	PHY
ENG	MATH	CS	CS	CHEM	CHEM
EXAM	EXAM	EXAM	EXAM	EXAM	EXAM
EXAM	EXAM	EXAM	EXAM	EXAM	EXAM
ENG	CHEM	MATH	MATH	PHY	CHEM
PHY	CHEM	MATH	MATH	ENG	CHEM
MATH	ENG	CHEM	PHY	CHEM	MATH
MATH	PHY	CHEM	ENG	CHEM	MATH
CHEM	MATH	ENG	CS	MATH	CS
CS	MATH	PHY	CHEM	MATH	CS
CS	CHEM	CHEM	ENG	MATH	ENG
CHEM	CS	PHY	PHY	MATH	PHY
CHEM	CS	MATH	PHY	CS	MATH
MATH	CHEM	CS	CHEM	CS	MATH
PHY	CHEM	CS	CS	PHY	CHEM
PHY	MATH	CHEM	CS	CHEM	CHEM
ENG	PHY	CHEM	MATH	MATH	CS
PE	PHY	CHEM	MATH	MATH	CS
MATH	ENG	PHY	MATH	CS	ENG
PHY	PE	PHY	MATH	CS	PHY
PHY	MATH	ENG	CS	ENG	MATH
CS	PHY	PE	CS	PHY	MATH
CS	PHY	MATH	ENG	CHEM	ENG
ENG	CS	PHY	PHY	CHEM	PHY
CHEM	CS	PHY	CHEM	ENG	CS
CHEM	ENG	CS	CHEM	PHY	ENG
